sample_name	Order	C14_Cellobiose_Saccharomycetales	C14_Cellobiose_Lipomycetales	C14_Cellobiose_Serinales	C14_Cellobiose_Pichiales	C14_Cellobiose_Dipodascales	C14_Cellobiose_Phaffomycetales	C14_Cellobiose_Trigonopsidales	C14_Cellobiose_Saccharomycodales	C14_Cellobiose_Alaninales	C14_Cellobiose_Alloascoideales	C14_Cellobiose_Sporopachydermiales	C14_Cellobiose_Ascoideales	C15_Salicin_Saccharomycetales	C15_Salicin_Lipomycetales	C15_Salicin_Serinales	C15_Salicin_Pichiales	C15_Salicin_Dipodascales	C15_Salicin_Phaffomycetales	C15_Salicin_Trigonopsidales	C15_Salicin_Saccharomycodales	C15_Salicin_Alaninales	C15_Salicin_Alloascoideales	C15_Salicin_Sporopachydermiales	C15_Salicin_Ascoideales	C5_D.Ribose_Saccharomycetales	C5_D.Ribose_Lipomycetales	C5_D.Ribose_Serinales	C5_D.Ribose_Pichiales	C5_D.Ribose_Dipodascales	C5_D.Ribose_Phaffomycetales	C5_D.Ribose_Trigonopsidales	C5_D.Ribose_Saccharomycodales	C5_D.Ribose_Alaninales	C5_D.Ribose_Alloascoideales	C5_D.Ribose_Sporopachydermiales	C5_D.Ribose_Ascoideales	C12_a_a.Trehalose_Saccharomycetales	C12_a_a.Trehalose_Lipomycetales	C12_a_a.Trehalose_Serinales	C12_a_a.Trehalose_Pichiales	C12_a_a.Trehalose_Dipodascales	C12_a_a.Trehalose_Phaffomycetales	C12_a_a.Trehalose_Trigonopsidales	C12_a_a.Trehalose_Saccharomycodales	C12_a_a.Trehalose_Alaninales	C12_a_a.Trehalose_Alloascoideales	C12_a_a.Trehalose_Sporopachydermiales	C12_a_a.Trehalose_Ascoideales	C26_Xylitol_Saccharomycetales	C26_Xylitol_Lipomycetales	C26_Xylitol_Serinales	C26_Xylitol_Pichiales	C26_Xylitol_Dipodascales	C26_Xylitol_Phaffomycetales	C26_Xylitol_Trigonopsidales	C26_Xylitol_Saccharomycodales	C26_Xylitol_Alaninales	C26_Xylitol_Alloascoideales	C26_Xylitol_Sporopachydermiales	C26_Xylitol_Ascoideales	C32_D.Glucono.1_5.lactone_Saccharomycetales	C32_D.Glucono.1_5.lactone_Lipomycetales	C32_D.Glucono.1_5.lactone_Serinales	C32_D.Glucono.1_5.lactone_Pichiales	C32_D.Glucono.1_5.lactone_Dipodascales	C32_D.Glucono.1_5.lactone_Phaffomycetales	C32_D.Glucono.1_5.lactone_Trigonopsidales	C32_D.Glucono.1_5.lactone_Saccharomycodales	C32_D.Glucono.1_5.lactone_Alaninales	C32_D.Glucono.1_5.lactone_Alloascoideales	C32_D.Glucono.1_5.lactone_Sporopachydermiales	C32_D.Glucono.1_5.lactone_Ascoideales	C38_DL.Lactate_Saccharomycetales	C38_DL.Lactate_Lipomycetales	C38_DL.Lactate_Serinales	C38_DL.Lactate_Pichiales	C38_DL.Lactate_Dipodascales	C38_DL.Lactate_Phaffomycetales	C38_DL.Lactate_Trigonopsidales	C38_DL.Lactate_Saccharomycodales	C38_DL.Lactate_Alaninales	C38_DL.Lactate_Alloascoideales	C38_DL.Lactate_Sporopachydermiales	C38_DL.Lactate_Ascoideales	C40_Citrate_Saccharomycetales	C40_Citrate_Lipomycetales	C40_Citrate_Serinales	C40_Citrate_Pichiales	C40_Citrate_Dipodascales	C40_Citrate_Phaffomycetales	C40_Citrate_Trigonopsidales	C40_Citrate_Saccharomycodales	C40_Citrate_Alaninales	C40_Citrate_Alloascoideales	C40_Citrate_Sporopachydermiales	C40_Citrate_Ascoideales	O1_Cycloheximide_0.01__Saccharomycetales	O1_Cycloheximide_0.01__Lipomycetales	O1_Cycloheximide_0.01__Serinales	O1_Cycloheximide_0.01__Pichiales	O1_Cycloheximide_0.01__Dipodascales	O1_Cycloheximide_0.01__Phaffomycetales	O1_Cycloheximide_0.01__Trigonopsidales	O1_Cycloheximide_0.01__Saccharomycodales	O1_Cycloheximide_0.01__Alaninales	O1_Cycloheximide_0.01__Alloascoideales	O1_Cycloheximide_0.01__Sporopachydermiales	O1_Cycloheximide_0.01__Ascoideales	at_37_C_Saccharomycetales	at_37_C_Lipomycetales	at_37_C_Serinales	at_37_C_Pichiales	at_37_C_Dipodascales	at_37_C_Phaffomycetales	at_37_C_Trigonopsidales	at_37_C_Saccharomycodales	at_37_C_Alaninales	at_37_C_Alloascoideales	at_37_C_Sporopachydermiales	at_37_C_Ascoideales	Serinales_any_resistance	Pichiales_any_resistance	Phaffomycetales_any_resistance	Saccharomycetales_any_resistance
SRR16974532	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
SRR16974521	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
SRR16974510	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974251	Saccharomycetales	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974240	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974644	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974633	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No
SRR16974622	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
SRR16974584	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
SRR16974573	Saccharomycetales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16974369	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
SRR16974358	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
SRR16974347	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
SRR16974308	Saccharomycetales	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Yes
